"","Tissue","ComparisonFactor6","Spearman_Rho_chosen_Factor","P_ValueFactor6","AsterisksFactor6","Comparison_GDF15","Spearman_Rho_GDF15","P_Value_GDF15","Asterisks_GDF15"
"1","adipose_subcutaneous","chosen_Factor",0.0133703436620419,0.745452454030009,"ns","GDF15",0.275680353829911,8.7236841889757e-12,"****"
"2","adipose_visceral_omentum","chosen_Factor",-0.0965725395979539,0.0331158589921255,"*","GDF15",0.407638471552486,6.39165028791017e-21,"****"
"3","artery_aorta","chosen_Factor",-0.164443295863016,0.00106835565746222,"**","GDF15",0.346052141629474,1.69408419869032e-12,"****"
"4","artery_coronary","chosen_Factor",-0.0741042415470426,0.287433214784313,"ns","GDF15",0.273405431347501,6.44910525151122e-05,"****"
"5","artery_tibial","chosen_Factor",0.134625187845902,0.000785188993783915,"***","GDF15",0.248532792814399,3.62072833631236e-10,"****"
"6","brain_amygdala","chosen_Factor",-0.196931959273239,0.0258778310157447,"*","GDF15",0.221592142355257,0.0119448822805058,"*"
"7","brain_anterior_cingulate_cortex_ba24","chosen_Factor",-0.240867868459632,0.00340442066813914,"**","GDF15",0.265362938649047,0.00120764342037867,"**"
"8","brain_caudate_basal_ganglia","chosen_Factor",-0.203740547685673,0.00194272860943745,"**","GDF15",0.243112555026476,0.000203433288993572,"***"
"9","brain_cortex","chosen_Factor",-0.314146039201742,2.34691485994049e-06,"****","GDF15",0.243523792578685,0.000293149491894139,"***"
"10","brain_frontal_cortex_ba9","chosen_Factor",-0.237336834519682,0.00110725038550824,"**","GDF15",0.257151383342111,0.00039528945857286,"***"
"11","brain_hippocampus","chosen_Factor",-0.157925620463851,0.043418910357438,"*","GDF15",0.278206900855257,0.000309743907056647,"***"
"12","brain_hypothalamus","chosen_Factor",-0.239181435091384,0.00134489699838041,"**","GDF15",0.227012469534931,0.00237697674437387,"**"
"13","brain_nucleus_accumbens_basal_ganglia","chosen_Factor",-0.215455727320522,0.00126966015720121,"**","GDF15",0.220277315790676,0.000978368285318616,"***"
"14","brain_putamen_basal_ganglia","chosen_Factor",-0.249490707009998,0.000731423951071422,"***","GDF15",0.171917014121332,0.0210187102221483,"*"
