"","Tissue","ComparisonFactor1","Spearman_Rho_chosen_Factor","P_ValueFactor1","AsterisksFactor1","Comparison_ATF4","Spearman_Rho_ATF4","P_Value_ATF4","Asterisks_ATF4"
"1","adipose_subcutaneous","chosen_Factor",0.175792750748906,1.69473067074616e-05,"****","ATF4",-0.0766476005687192,0.0623614015084428,"ns"
"2","adipose_visceral_omentum","chosen_Factor",0.115062665598782,0.0110494369830843,"*","ATF4",-0.0877852615564001,0.0528661722319484,"ns"
"3","artery_aorta","chosen_Factor",0.37609257096778,1.18964611024255e-14,"****","ATF4",0.116826298378386,0.0205281691252756,"*"
"4","artery_coronary","chosen_Factor",0.11530655214627,0.0972186912574683,"ns","ATF4",-0.0550066960178836,0.43003324192114,"ns"
"5","artery_tibial","chosen_Factor",0.138218645203522,0.000563805066666935,"***","ATF4",-0.290297645861871,1.74308828632115e-13,"****"
"6","brain_amygdala","chosen_Factor",0.262484272154596,0.00276063410193397,"**","ATF4",0.0224285052682522,0.80158839606424,"ns"
"7","brain_anterior_cingulate_cortex_ba24","chosen_Factor",0.262928681929932,0.00134463809965399,"**","ATF4",-0.00309252915465703,0.970448274614176,"ns"
"8","brain_caudate_basal_ganglia","chosen_Factor",0.225452393453278,0.000587314979261252,"***","ATF4",-0.0216268209172093,0.744787293090291,"ns"
"9","brain_cortex","chosen_Factor",0.282192758153251,2.45372544445844e-05,"****","ATF4",-0.0455262989690796,0.50469750712383,"ns"
"10","brain_frontal_cortex_ba9","chosen_Factor",0.280918761514155,0.000102795801107035,"***","ATF4",-0.0851272368364398,0.247987041911578,"ns"
"11","brain_hippocampus","chosen_Factor",0.192337815699771,0.0136110298899196,"*","ATF4",-0.0746526027581846,0.342095071764098,"ns"
"12","brain_hypothalamus","chosen_Factor",0.312470392433605,2.29359647541478e-05,"****","ATF4",0.168263871464384,0.0251734348140852,"*"
