"","QRICH1","SLC1A4","ABCA7","ATAD3A","SLC35A4","AGR2","GCN1","SLC3A2","DELE1","SLC7A11","ATF4","HERC5","SLC7A5","ARIH1","NARS1","RPAP2","APAF1","BATF2","BBC3","EIF2S1","BCL2","BATF3","BIRC2","BOK","OMA1","BIRC3","EIF2AK1","BIRC5","IMPACT","ATG3","NFE2","ATG5","NFE2L3","ATG7","CREBZF","GABARAP","EIF2AK4","GABARAPL2","CEBPE","NBR1","EIF2AK3","FOSL1","SQSTM1","FOS","ASNS","CREB3","BECN1","NFE2L2","EIF2AK2","JUN","MAP3K20","BATF","MAF","CEBPD","MAP1LC3A","LIG4","SLC38A2","DDB1","IRGM","CEBPG","DDB2","CEBPB","DDIT4","JUNB","ATF6","TMED2","HSPA5","CEBPA","NCK1","DDIT3","PIK3CA","MAFB","AKT1","IBTK","NCK2","MTOR","ACTG1","EIF2B1","EIF2S3","PPP1CA","RPL7","PTPN1","SESN2","WARS1","BCL2L11","PTPN2","ERN1","ERO1A","PPP1R15A","PPP1R15B","TRIB3","XBP1","TMEM33","ERCC1","ERCC2","ERCC3","GADD45A","BNIP3L","ATF3","ATF5","CBX4","EGLN2","EGLN3","LMO4","NFKB1","TFE3","TFEB","TXNIP","BIRC7","NAIP","NUPR1","PMAIP1","SIAH1","SIAH2","TNFRSF10B","XIAP","ATG10","ATG12","ATG16L1","GDF15"
"QRICH1",1,-0.104060692321701,-0.105293594441825,0.232926835137253,-0.00189853599151618,0.0245272511236619,0.196585840337451,0.194057756127245,-0.210082945855671,0.112991156013799,0.0397294759831292,0.116474835848138,0.230814136970054,0.186158551409245,0.0434261291787005,-0.487994430943177,-0.0135910470052454,0.285295618539986,-0.0358508022677235,0.507187939471433,0.0691422480800119,0.120666886528442,0.355505765298047,-0.0589211132450562,-0.172021599362603,0.0337208661216406,0.354202824577408,0.201303432031939,-0.0186132726188864,0.44479274192267,0.00624574105171307,0.384862601130716,0.0206027747796806,0.159493775648775,-0.330050205498088,0.195169928673325,0.186980582251882,0.063550028836565,-0.0341684761584923,0.0968019286483525,-0.0503883769732372,0.325918943739263,0.208735206609109,-0.299870463315856,0.0334628993335229,-0.0391155882889407,0.301298066036611,0.242756101975628,0.384933492356717,-0.356708726952421,-0.00290633036346492,-0.0535375222890077,0.0926843107188116,-0.316635675142207,-0.0619281727511639,-0.0276828519632918,-0.137270674737297,0.341837186179593,-0.159372209907931,-0.0542442008851583,-0.0267456165804771,0.139486034864271,-0.445208136574761,-0.188607592915519,0.0729165077072995,0.427002065851506,0.101776762808728,0.109969178415817,0.314450940563189,-0.116278283886574,0.024804131182683,-0.0152404861522305,0.19660715764326,0.214797985534805,0.0811729264225031,0.189433200170369,0.0487463685688523,0.122946322920045,0.125520813645577,0.322097156915,0.204404448832012,0.0968284135678476,-0.136278256454754,0.18012894053718,0.0726416524175496,0.0658114502726364,-0.131100992250331,0.0385994334972875,0.120468245046523,-0.0351937072834822,-0.056662194181506,0.131468763101026,0.333115672905428,-0.0066334883046027,0.0695052849429209,0.423383016131862,0.0350369081996864,0.0720691037911225,-0.0242266688684651,-0.112838107407487,-0.0428022548233174,0.203380449107594,-0.27764579618316,0.0204231292085807,0.353619103364763,0.282241269104553,-0.0174569880143895,0.120038275676857,-0.231904148232802,-0.298772925460578,-0.116598822482288,0.104642436959716,0.178885574200031,-0.11766494380417,0.0948729599849016,0.114861882980759,-0.265624828875745,0.372661847677925,-0.00999525398477519,0.0149268394764388
"SLC1A4",-0.104060692321701,1,0.291300810306897,0.215719864079702,0.196527218105663,-0.0577499098944455,0.334423783945303,0.420754172929352,0.131860237071374,0.566544170309373,0.206208232896806,0.0669959781202123,0.324563993190908,0.262553668926611,0.396844784896391,-0.133072087325796,-0.174303336286334,-0.386001715312763,-0.184173927546656,0.306865714654065,-0.168952025594749,0.0247760432778522,0.254086249619024,-0.240578792944309,0.438482972435239,0.27475344350264,0.362883278673488,0.220041508347792,-0.0211021302746665,0.216552230678699,0.090443496770262,0.318456967732125,0.0228119411537523,-0.0946379025607476,-0.358122737882585,-0.38247708487026,0.0409017531955572,-0.0910620078612507,-0.134841340167905,-0.13299640472998,0.0183850504705123,0.0141072217215063,-0.250915322661239,-0.168282580703616,0.493373788466371,0.433841097284163,0.160456095331022,0.27329222738253,-0.0860164130119266,-0.317326025206069,-0.134778145087788,0.26110727401829,-0.640852688096432,-0.0380920552157305,0.12808112825583,0.298982715101705,0.529802236615884,-0.0275369425507107,-0.183070346517904,0.431592837251972,0.0467139428955389,-0.32191033028079,0.258440462134373,-0.309221472280119,0.470796926978275,0.409227150102416,0.324740864722151,-0.153560364800297,0.0137107208863219,-0.0118614188703733,0.192564515123851,-0.331332691521971,0.344598194685456,0.364813898466048,-0.309354197752058,0.480229315727866,0.0958708353246804,0.185550858593246,0.352133496073489,0.116087187303076,-0.211101728880181,0.4255271432563,0.357339842684241,0.349690959646717,-0.414457179928499,0.256459418092782,0.217064188072266,-0.344820132072856,-0.0790081817090812,0.155049630293595,0.293474988318598,0.416511375475001,0.45119262935016,-0.0355711083741547,0.0890672198205159,-0.096025544530344,0.41190897682094,-0.451494596271146,0.0632293338218579,0.219674878427157,0.34694869282198,-0.32990161270135,-0.280828631158397,0.052392658616155,-0.356916564080462,0.182129801624455,0.0761886358540914,0.151311874498613,-0.0599564371195231,-0.24444215677679,0.0829037235217185,0.208869988261461,-0.318044402038521,0.210151178066039,0.328124992852073,0.09586303849583,-0.195931558800793,-0.114154698647341,0.336459052768922,0.271999671440934
"ABCA7",-0.105293594441825,0.291300810306897,1,-0.0890045484525993,0.204596679571111,-0.117044459002907,0.191809022087736,-0.0723919897679165,-0.164094298595339,0.162700318424035,-0.29086277266754,0.0981469597028907,-0.043114076250104,0.27477889293038,0.293277878279378,0.047296709410002,-0.254391121563167,-0.0748476286174142,-0.0547764311131891,0.00798521439216531,-0.266522467333976,-0.0398073182662641,0.0348278136253243,-0.427755134367221,0.349732791465621,0.00904966224502718,0.096863487931425,-0.109971227675599,0.000848137041942147,-0.0287196025113108,0.124807747419228,0.12519853072139,-0.227707326939313,-0.114617267584256,-0.246161904362815,-0.239931095236179,0.133596524956971,0.277266167880232,-0.0587690567577089,0.208559042293649,0.106986040632927,-0.126301069343953,-0.0185622999964914,0.0277024152976456,0.0222536499674451,0.368876144716526,0.347745279998887,0.0293867733214355,-0.0622909755606538,0.027934815348493,-0.195591366570832,0.241550674804935,-0.355645909096211,-0.0187645513516781,0.125630856035944,0.40317623435082,0.245755727729096,0.134814793800515,-0.00861551809763817,-0.127497735443199,0.223153702574221,-0.150664176146282,0.130099875970673,-0.039634234456501,0.289338325143038,-0.0999705101484932,-0.1472026786702,0.191307437663002,-0.0074365310740592,-0.0761584325258867,0.204794239425063,-0.232069434371707,0.0524579182961693,-0.131362099745193,-0.393899077641536,0.331257310442219,-0.270635906286457,0.056383636206712,0.0591269727808815,-0.0953171129122772,-0.354459696251217,0.412055332490146,0.185024560563115,-0.0244237777313297,-0.198889569781166,-0.0311114209629184,0.0873745057470627,-0.292978177506045,-0.14541991456007,0.0667969346317364,-0.0932533825260298,-0.244357798115652,0.116253840768661,-0.245648671794134,-0.256703290980418,-0.0995309813441407,0.189211184975712,-0.223764765274457,0.0749325589040383,0.202906550545815,0.10535668565281,-0.130000678242691,-0.14865108087964,-0.230379221161087,-0.0897302173492078,-0.0641660613482335,0.0572303112266066,0.219430936795023,0.0312293338177304,-0.133752586913408,0.179688153050445,-0.136403795590494,-0.465242662164345,-0.26829932393537,0.170626139806214,0.042246007478147,0.0330225831434458,0.135665920018003,0.309334680249171,0.152039500228177
"ATAD3A",0.232926835137253,0.215719864079702,-0.0890045484525993,1,0.150113137882183,-0.0773531392450441,0.762192739121592,0.159174049979152,-0.118404992307712,0.221468697028549,0.116755323667602,-0.210940159257986,0.18242963395805,-0.228703691313493,0.186995355409799,-0.457323301974528,0.235529950120774,-0.125532835899801,-0.372141552235412,0.593299329285013,-0.200151127365932,0.34969962737397,0.0144013003538874,-0.048586443404558,-0.104123806032059,0.0460752557386004,0.171432023409135,0.755168148283245,0.00117032720658815,0.544417462567546,0.0150773416633094,0.332003885628933,0.187905319923566,0.546748572511193,-0.246566392938833,-0.388705179817111,0.4969701018767,-0.456594898410941,0.0191765950326694,-0.271488510833798,-0.417394276490087,0.516080468640151,-0.183889627260106,-0.278166950039719,0.231228485786318,0.462093686421752,0.329806782984611,-0.193620159380975,-0.102847871690972,-0.598511552376047,-0.0707765852370375,0.0163121705353109,-0.420476583339951,-0.0967963521956045,0.0498558364079229,-0.198111956104234,0.15525101262865,0.282411531072255,-0.366393772151778,-0.0126546615575523,-0.235946663921825,-0.0381318734038256,0.00971491671743662,-0.341978255440371,-0.000909971429472721,0.241293980476018,0.267687358144405,-0.195767040522499,-0.127777949766291,-0.208760599253719,-0.304031330894796,-0.30069316144837,0.641754109970872,0.347418322180347,-0.138189943423406,0.519379320542079,0.554230900892304,0.438873652654607,0.279904739966237,0.689276740643618,0.0272094016872601,0.359951464364302,-0.0924161234497137,0.10024955031354,-0.445411648931275,0.41356520299316,-0.321782260817824,-0.341832710791516,-0.103918869500482,-0.0311464665539926,-0.0940050200938141,0.186039873992675,0.408861343688718,0.355421901915063,0.554411148185479,-0.0076453466909383,0.117009154288554,-0.562142420609435,-0.110670532268102,0.0833547501393588,0.125129627044478,0.194635539263605,-0.489308945291151,-0.151284908405955,0.103933001400552,0.423799092716999,-0.0853509369905266,-0.163562419196635,-0.0860706845710518,-0.426987153183266,-0.0713246078364942,0.30321944881008,-0.278008047400127,-0.137711996852672,-0.0248512038828098,-0.100981429681555,-0.24657738330879,-0.271263981612218,0.239767410691146,-0.10042406656159
"SLC35A4",-0.00189853599151618,0.196527218105663,0.204596679571111,0.150113137882183,1,-0.173283265775283,0.417578280495677,-0.311486419862669,-0.0135148006234974,0.235784313051556,-0.425843394259405,-0.366516676020688,-0.0384418564975277,-0.117787206342935,0.555017645006754,0.0773098987662116,0.135590594943267,0.0641432714653201,-0.572898935913376,0.24017383641248,-0.461894118217239,-0.104827519283485,0.200406070657975,-0.264900985534404,0.19331295602587,0.0467927367953869,0.182724526155552,0.287519236940185,0.21860203407862,-0.144750415072034,-0.008548672821962,0.221067041789831,-0.384582641087245,0.143261228982865,-0.266083262430203,-0.493291639312048,0.350729032011024,0.0441195791712838,-0.135157370818559,-0.285939516557338,0.119696488833905,0.0156939029321796,-0.36805623056203,0.437408081033838,0.181125210635306,0.108681948316079,0.0168020312593538,-0.294018742995113,-0.10445653838291,0.0381630138460087,-0.340934333948203,0.119527196778865,-0.308700301029682,0.28943066573232,-0.0656159059009471,0.610430156282399,0.333969268829713,0.0108777902583062,-0.308146693021979,-0.0719111511112727,-0.130617693157746,-0.495494003135681,0.322743157559068,0.211224413322589,0.52641121286083,0.119808992060832,-0.308065617812244,0.0264584001017152,-0.110290127861226,-0.605743674082011,0.457050588569117,-0.0746995104850533,0.354612134481505,-0.00155234821490278,-0.0938316104358779,0.423746219006799,-0.250705594955497,0.487879211861112,0.0778985645420093,0.453915313970997,-0.326010390137643,0.537557826022856,0.0817016168927022,0.210282216783611,-0.471556828155315,-0.0881099234857892,-0.494428806815105,-0.106155328511627,-0.622955841727364,-0.00228764787555611,-0.302257593117137,-0.202179984202663,0.0222946784566968,-0.0724975288281935,-0.338307118638788,-0.0663339385648194,-0.333152878222325,-0.336264188964733,-0.416326647220536,-0.155746173793744,-0.407268362402769,-0.304937636226052,-0.104599370354472,-0.376426857180347,0.204989138079279,-0.303984824484896,-0.312050788509629,0.406592232914473,-0.170713626048783,0.14933231450011,-0.0967787505017869,-0.132718128484024,-0.593680347982134,-0.405178897052718,-0.207888579065406,-0.429431335561514,-0.111215966889486,-0.0666171303686126,0.118257599257584,-0.484742393502873
"AGR2",0.0245272511236619,-0.0577499098944455,-0.117044459002907,-0.0773531392450441,-0.173283265775283,1,-0.0899463664575978,0.0527917832941295,0.0210518668497448,-0.174446548648868,0.0649274351717344,0.0752715329738115,0.0231090791401496,0.0194306212792643,-0.187639280535272,-0.0594045489822921,-0.083394355556204,0.060765500453232,0.114481735932077,-0.108135676951336,0.154599507086094,-0.0191906500915992,-0.0235282290889788,0.101530693492936,-0.0666133450562905,-0.0022011480904269,0.00613653622487469,-0.0655356177364922,-0.157279490065004,0.0389396857079852,0.0971435197783561,-0.105069214172933,0.0702631166458644,-0.0870550378624968,-0.0503276786089852,0.23797028892073,-0.167571075212,0.0953805123244189,0.11212127687433,-0.0168280152823118,0.0607216930381336,0.0268726617143578,0.147487661646559,-0.0590809579428505,-0.12700236660475,-0.122630397280171,-0.0670653160855183,-0.0241923134651224,0.0215964997390433,0.0223669080955109,-0.000150877299895831,0.0124391679140712,0.177548065904778,-0.105046252023804,0.036578191695359,-0.219400089143522,-0.233480610047855,-0.0636684213085787,0.0969979649416098,-0.0438103858570924,-0.0288867539902802,0.17028175277005,-0.113446112765826,-0.00790204856202644,-0.0760192558542664,0.00642596702001886,0.0454730487666954,0.0602369006272016,0.0104106546238159,0.093964583754996,-0.113872915315013,0.162504271919759,-0.0769990552155789,-0.127711576420704,0.148679865500819,-0.171159042857033,0.0542688279085868,-0.139057741486048,-0.00093153766835769,-0.0847693383029973,0.0885377870803149,-0.170231272517687,-0.122486315632905,-0.0912908320321163,0.137283085707115,-0.0280430586041929,0.0793742471229026,0.212135551587406,0.229276964600986,-0.0164788030174647,0.0562613361837,-0.00149334192957666,-0.0192915514636311,0.0706965438601696,0.0849772831344335,0.0463668422104011,0.0555265378814041,0.215905028686184,0.0629485531025865,0.0216212107988943,0.0591636973328606,0.0728512414700766,0.158561657704289,0.104100914035486,-0.0457708354966606,0.047966566043306,0.0699751502100047,-0.142950515294324,0.169361763640634,-0.105250467865232,0.0339752958701123,-0.0552968597524523,0.161174035297625,0.0684546451391441,-0.0166967413361228,0.0572514788561944,-0.0431080777360517,0.00955387639398473,-0.148657770915392,0.0949923714053195
"GCN1",0.196585840337451,0.334423783945303,0.191809022087736,0.762192739121592,0.417578280495677,-0.0899463664575978,1,-0.0261655790598865,-0.263694859958122,0.342718291089413,-0.130419469204422,-0.32091977808026,0.17782518234692,-0.0814760727771347,0.475122821675895,-0.273851122673461,0.317349168272657,-0.164811868009196,-0.558174019469554,0.643492508008245,-0.481155241562643,0.233028867775994,0.157326632561771,-0.18524474179636,0.0226777307519905,-0.029701572264243,0.290099633530098,0.679501999636342,0.0985943833910874,0.37322558389365,0.0423837931582315,0.426022246255553,0.0450124696875988,0.461288500032538,-0.332062536781896,-0.58368553996386,0.645441506969542,-0.230578775848514,-0.0555387445936755,-0.149023151724104,-0.377408233891853,0.351975679067596,-0.337067955476117,-0.0933215085264631,0.340996188660087,0.564937438146968,0.447383981134428,-0.257120570317246,-0.169711944982315,-0.516409942575458,-0.132429862305111,0.139353356389315,-0.596869144571457,0.014218184058163,0.151798830158235,0.175342881247728,0.404691996781091,0.364603494478783,-0.394827673227923,-0.0752639284457472,-0.262834690285094,-0.306710079391532,0.159375583803288,-0.316716125515962,0.198583584957666,0.234679814260176,0.00430264112378445,-0.0848757931733107,-0.241169160909842,-0.457216436716073,0.0358736291248339,-0.446214629950932,0.700898325276752,0.3258776294307,-0.28353248572463,0.693707623291136,0.347880175157019,0.57880133418575,0.222200231229684,0.717249005395745,-0.17326063776416,0.65639231104936,-0.0299240879009587,0.159414537982623,-0.624731064708585,0.300938879989217,-0.412184711648027,-0.474314237214098,-0.36827671267528,0.0184292952701922,-0.261035688967656,-0.00300765082133747,0.346046038027164,0.105194755899565,0.297847093942625,-0.0608909820329498,0.00673802227776545,-0.63143719370065,-0.23863205844296,0.020953953412887,-0.0162383912768412,-0.0417975829783461,-0.469508909434051,-0.28628372918381,0.0796867002644996,0.293964896312545,-0.128270017618487,0.0666159795381968,-0.180256030705595,-0.363352533797323,-0.0991350455682482,0.15687740866132,-0.55568984935681,-0.278184516270215,-0.0584698591284497,-0.165771934180895,-0.249063353092711,-0.143965321200384,0.334659080981491,-0.227873185982611
"SLC3A2",0.194057756127245,0.420754172929352,-0.0723919897679165,0.159174049979152,-0.311486419862669,0.0527917832941295,-0.0261655790598865,1,0.0720958522492024,0.569924506136035,0.678178252672215,0.351272985515417,0.666923664926045,0.348784703284757,0.0781638465396583,-0.436654830413847,-0.450950533360193,0.0337645660691113,0.450823794903114,0.281708751233486,0.354467898834222,-0.0117623086889024,0.122595270900036,0.0126987017479408,-0.0394805115506284,0.222843556311915,0.155560686793358,-0.0892107315461268,-0.145776273814326,0.602342268905861,0.0360541580482497,0.329052425828456,0.154456017902791,-0.0448033444596249,-0.294141169206621,0.275021554452594,-0.0412510637131214,-0.00330599891756954,-0.0266698302384393,0.0923276256855769,-0.0383052817118778,0.0661180442973378,0.358490417547947,-0.586030197895611,0.504370157737018,0.234197441485635,0.236015475217496,0.718176404410906,0.239715900449177,-0.392463617522403,-0.0471936540788925,0.0783295951239513,-0.089839080215651,-0.265866087012074,0.163590644885874,-0.13784931587114,-0.16192276255795,0.0327581469885636,-0.00553627192276801,0.561126988105336,0.300970881740528,0.317161035196208,-0.148446912087595,-0.490434175577513,0.290018910676162,0.515265390917507,0.695858052749528,-0.153364362490487,0.50855191837276,0.540792992373991,-0.219145908411588,-0.207033186665264,0.0333659806798627,0.429575957314286,0.0516766211796676,0.236762054721774,0.221427859680413,-0.156338758617953,0.247160461151308,-0.0904898941622201,0.235935010490286,-0.056472955589737,0.423686847486688,0.46771175430752,0.163444809717263,0.175961172437903,0.49334497746879,-0.177422701625733,0.51231833642713,0.0859804438477061,0.740762337516435,0.742769018406507,0.642145629359787,0.056674909777694,0.37782832268753,0.318625867864376,0.671979374606309,-0.141867783015982,0.139159599227424,0.000243261068748483,0.604558757176111,0.224721624499009,-0.418373990332102,0.221967972335077,-0.196947841416535,0.523088018397394,0.208746585560709,0.0112457266888656,-0.0174756896075348,-0.452544148714071,0.47986589664689,0.362611062132772,0.350220474902463,0.499908430348308,0.718948003301378,0.436631957876402,-0.0321890158506041,0.305372868777462,0.234891744334983,0.742220675549238
"DELE1",-0.210082945855671,0.131860237071374,-0.164094298595339,-0.118404992307712,-0.0135148006234974,0.0210518668497448,-0.263694859958122,0.0720958522492024,1,-0.0655671931654686,0.329451386717901,0.0327106508106452,-0.199884980415484,-0.05231440380669,-0.137727410933775,-0.101309981049357,-0.266132280202198,-0.00913960674114934,0.0836321973160849,-0.239935449638146,0.155066417315218,-0.0767168005106402,-0.099055494344243,-0.0346252132012495,0.281679350064014,0.111697529753256,0.122654163004593,-0.23197024573929,0.118947592054378,-0.13127531865157,0.00643483595592054,-0.108661299445686,-0.053471268980184,-0.0880838071776295,0.15302497721282,0.267887689222331,-0.289313640365549,-0.0112773460457119,-0.0257177764732691,-0.0800090223305176,0.265389792468569,-0.176229613944176,0.132867429946493,0.0671038170445218,-0.0743672561900264,-0.237641025941625,-0.353028534394218,0.196116434297882,0.0867948437373958,0.134870671180864,0.047626207211976,-0.0186806537562307,0.063674929969574,0.111400775532425,-0.128935570507795,-0.12318239483128,-0.0639626405756464,-0.0567177953174745,-0.0268121768125558,0.264695588165408,0.0535885737169459,0.115530260952951,0.014047936578428,0.204188511719838,0.104705551874946,0.135157009740073,0.288032670159387,-0.062762794147961,0.205004243949806,0.204012755933827,0.0183066386130251,0.190199869853539,-0.248251802680332,0.0999899040062295,0.205672277167835,-0.127435145329041,0.0754871360139095,-0.140648810487545,0.397272255570579,-0.244654846237677,0.344419780928838,-0.27086642416301,0.050743648513161,0.0814434923088959,0.202318302139143,0.0836101309749496,0.250941313712478,0.223357480425997,0.082905560572462,-0.00346213405413129,0.324839047666336,0.301923524058967,0.0304653115669885,0.258771608766992,0.0407071231920515,-0.0384946162623948,0.0541478600656675,0.140002927680032,0.127879392805682,0.248002561316011,0.145870595936863,-0.102456656750248,0.0682579073161191,0.230085563329007,-0.109668832261945,-0.0541966926705873,-0.0648625119906147,-0.0593289567808049,0.0880314192212121,0.172990664250294,0.0622107355631218,-0.00837043145619072,0.201863898645321,0.28416076538176,0.104950839213464,0.0445022560025724,-0.0976989505325238,-0.0638061904238791,-0.23244028008308,0.139501844822942
"SLC7A11",0.112991156013799,0.566544170309373,0.162700318424035,0.221468697028549,0.235784313051556,-0.174446548648868,0.342718291089413,0.569924506136035,-0.0655671931654686,1,0.376415704117848,0.135557875899263,0.680544601577229,0.43676449520623,0.687901512833424,-0.123450746236172,-0.0580982348422712,-0.0228068854683479,-0.0664645692171416,0.428605704362607,-0.215529588839307,-0.0179997779649028,0.337397024652549,-0.101005342110207,-0.0198022148089339,0.0778332430743135,0.23120615775077,0.0731835774096192,0.401534068669224,0.251484877651859,0.0880046753658443,0.51876753835254,-0.0360552183413411,0.126783528250816,-0.400542515399428,-0.312626893173049,0.434529555454252,0.00752434973188456,-0.163627239272811,-0.0342586390165289,-0.125402354535743,0.144354257326969,-0.0799491435026846,-0.156815283161945,0.730173320672678,0.424636306017578,0.34231687030812,0.429681731184642,0.17602103317647,-0.401234669063189,-0.0238434545159883,0.161425918844954,-0.520752244505262,-0.190048631105096,0.114282037148562,0.49462076768139,0.29376573819723,0.220776535170579,-0.1749367820595,0.519087234682876,0.232997646841249,-0.38758752562,0.0951950521759911,-0.357404675078248,0.588143214841709,0.444178066753603,0.306817998228309,-0.207162361091606,0.0893640781643139,-0.170132870043741,0.223525104236015,-0.530972027765304,0.239822011493674,0.562959057320212,-0.178344962015741,0.650111718761116,0.00934947597196271,0.247198175519259,0.0991693501328789,0.252923025933839,-0.0789387434907572,0.485614656931102,0.600979841163416,0.612578172425014,-0.344474860478769,0.048986080055687,0.0286331840010311,-0.505183471845541,-0.240121057496597,0.188025213678747,0.329495803328963,0.412097409511159,0.45441989531712,-0.191574888015072,0.0430879859907393,0.272881915896639,0.267554336965468,-0.534077201897864,-0.078170701972289,-0.125801228613286,0.253531008121702,-0.265301094014649,-0.614694048064238,-0.010766991281086,-0.275037657757633,0.191830701044866,-0.181496687799515,0.290055486746261,-0.335797207731482,-0.109371221597539,0.145476860240044,0.458680729654892,-0.226927515582812,0.0826587773188075,0.609662754937913,0.0989139477640258,0.0951374454624326,0.17738232598623,0.393393238722094,0.220713669657863
