"","x"
"QRICH1",0.124523252405274
"SLC1A4",0.830764926367893
"ABCA7",0.565472211123239
"ATAD3A",0.426447310556557
"SLC35A4",0.290741658736949
"AGR2",0.282418237640531
"GCN1",0.191139886219888
"SLC3A2",0.663856625343832
"DELE1",0.157907116162893
"SLC7A11",0.93026894667625
"ATF4",0.38852145377152
"HERC5",0.440610111721531
"SLC7A5",0.808533839615849
"ARIH1",0.138638836139726
"NARS1",0.323606214020573
"RPAP2",0.238077661236721
"APAF1",0.271274926872393
"BATF2",0.536807407318514
"BBC3",0.576587809192453
"EIF2S1",0.243557804632245
"BCL2",0.848712508748303
"BATF3",0.361085256463652
"BIRC2",0.19447302064601
"BOK",0.427465856269307
"OMA1",0.343447155238926
"BIRC3",0.583656855842831
"EIF2AK1",0.187334354566549
"BIRC5",1.21940344989463
"IMPACT",0.223375573919843
"ATG3",0.243294670672766
"NFE2",0.321608410810916
"ATG5",0.15880356060755
"NFE2L3",0.362211663236846
"ATG7",0.168516969509698
"CREBZF",0.239566893481611
"GABARAP",0.452264093829524
"EIF2AK4",0.319641695717979
"GABARAPL2",0.281288360413883
"CEBPE",0.188071703020774
"NBR1",0.208474384697627
"EIF2AK3",0.286643276519717
"FOSL1",0.618696353729854
"SQSTM1",0.694265338854411
"FOS",0.826625262410634
"ASNS",0.724461820040415
"CREB3",0.288092033059344
"BECN1",0.256232570427386
"NFE2L2",0.255327458565143
"EIF2AK2",0.181253280722658
"JUN",0.883224768947736
"MAP3K20",0.407018942913813
"BATF",0.253784121581181
"MAF",2.03878093071556
"CEBPD",0.640309737412056
"MAP1LC3A",0.384329270370071
"LIG4",0.335667810034816
"SLC38A2",0.442008550600988
"DDB1",0.201736908767718
"IRGM",0.30653154652926
"CEBPG",0.377276706723423
"DDB2",0.345702664946108
"CEBPB",0.570660085267237
"DDIT4",0.812473876390052
"JUNB",0.784832767403165
"ATF6",0.262098868319166
"TMED2",0.307183072745628
"HSPA5",0.785053007542023
"CEBPA",0.518142511463125
"NCK1",0.266814116577721
"DDIT3",0.862439974312368
"PIK3CA",0.187554509449958
"MAFB",1.40398919903843
"AKT1",0.212709923689304
"IBTK",0.181378315577299
"NCK2",0.260959759081549
"MTOR",0.199413382889376
"ACTG1",0.475262228939767
"EIF2B1",0.164887101907431
"EIF2S3",0.293950537620598
"PPP1CA",0.38479335234725
"RPL7",0.243114873142533
"PTPN1",0.371296769604182
"SESN2",0.545453348058546
"WARS1",0.524084143822207
"BCL2L11",0.908886736526246
"PTPN2",0.199663690892074
"ERN1",0.581293980471068
"ERO1A",0.404599947894236
"PPP1R15A",0.535622479834406
"PPP1R15B",0.248634424172633
"TRIB3",0.929107017573799
"XBP1",0.309427103112439
"TMEM33",0.206647093298586
"ERCC1",0.161920358613202
"ERCC2",0.441712750966736
"ERCC3",0.123912279160714
"GADD45A",0.711825460812319
"BNIP3L",0.385794311845684
"ATF3",0.685048533263609
"ATF5",0.685734619308973
"CBX4",0.378716613742172
"EGLN2",0.251468998769629
"EGLN3",1.26532429766196
"LMO4",0.380070077209329
"NFKB1",0.23169826380949
"TFE3",0.184205339203608
"TFEB",0.442793398244511
"TXNIP",2.1288851161148
"BIRC7",0.16364527658306
"NAIP",0.40597775111907
"NUPR1",0.372060162773849
"PMAIP1",0.599091205364956
"SIAH1",0.356516276146131
"SIAH2",0.347181260486501
"TNFRSF10B",0.417055028138016
"XIAP",0.173199222175833
"ATG10",0.206716626328488
"ATG12",0.179862518770878
"ATG16L1",0.189650053761846
"GDF15",1.23779665901706
